a 	啊	c=36 d=1.2806 t=40209
ma shang 	马上	c=0 d=0.1424 t=3923
ma shang ci zhi 	马上辞职	c=1 d=1.4307 t=3923
ma teng 	馬騰	c=1 d=1.2579 t=76495
ma tong 	馬桶	c=1 d=0.0005 t=76495
ma tong shuan 	馬桶拴	c=1 d=0.0005 t=76495
ma tou 	碼頭	c=1 d=0.0005 t=76495
ma ye 	妈耶	c=1 d=0.0005 t=76495
ma yun 	马云	c=1 d=0.5423 t=3923
mai 	买	c=2 d=0.0453 t=3923
mai 	買	c=12 d=0.7772 t=76495
mai 	迈	c=1 d=0.0671 t=3923
mai bu dao 	買不到	c=1 d=0.0005 t=76495
mai che 	买车	c=2 d=0.4524 t=3923
mai che 	買車	c=2 d=3.6489 t=76495
mai dan 	買單	c=1 d=0.0005 t=76495
mai de 	买的	c=1 d=0.0213 t=3923
mai de 	買的	c=2 d=0.0005 t=76495
mai dian 	埋點	c=1 d=0.0005 t=76495
mai fang 	買房	c=1 d=3.6307 t=76495
mai ge 	买个	c=1 d=0.7891 t=3923
mai gei 	賣給	c=1 d=0.0005 t=76495
mai ke feng 	麦克风	c=2 d=0.2568 t=3923
mai lai 	买来	c=1 d=0.0239 t=3923
mai lai 	買來	c=3 d=0.0005 t=76495
mai le 	買了	c=6 d=0.1007 t=76495
mai liang 	買輛	c=1 d=0.0126 t=76495
mai liang che 	買輛車	c=1 d=0.0005 t=76495
mai mai 	买卖	c=1 d=0.0002 t=3923
mai yi 	買一	c=0 d=0.0005 t=76495
mai yi dian 	買一點	c=1 d=0.0005 t=76495
mai yi ge 	买一个	c=1 d=0.0005 t=76495
man 	慢	c=3 d=0.0007 t=40209
man 	满	c=1 d=0.0121 t=3923
man 	滿	c=3 d=3.8360 t=76495
man cang 	满仓	c=0 d=0.1747 t=3923
man cang jiu shi gan 	满仓就是干	c=1 d=1.7562 t=3923
man cha xun 	慢查詢	c=1 d=0.0005 t=76495
man de 	慢得	c=1 d=1.2253 t=3923
man hao de 	蠻好的	c=1 d=0.0005 t=76495
man le 	慢了	c=1 d=0.0005 t=76495
man le 	滿了	c=1 d=0.0005 t=76495
man man 	慢慢	c=8 d=0.0005 t=76495
man man lai 	慢慢來	c=2 d=0.0005 t=76495
man ping 	满屏	c=1 d=4.3035 t=76495
man xue 	满血	c=1 d=0.0005 t=76495
man yi 	滿意	c=1 d=0.0005 t=76495
man zu 	滿足	c=3 d=1.9337 t=76495
man zu ni 	满足你	c=1 d=0.0015 t=76495
mang 	忙	c=4 d=0.0162 t=76495
mang da 	盲打	c=1 d=0.0005 t=76495
mang gai 	盲改	c=1 d=0.0005 t=76495
mang huo 	忙活	c=0 d=0.0058 t=3923
mang ma 	忙嗎	c=1 d=0.0005 t=76495
mang qian 	盲签	c=1 d=0.0014 t=3923
mang ren 	盲人	c=1 d=0.0005 t=76495
mang si 	忙死	c=2 d=0.0397 t=76495
mang xie 	盲寫	c=1 d=0.0713 t=76495
mang ze deng dai 	忙則等待	c=1 d=0.0005 t=76495
mang zhe 	忙着	c=1 d=0.0005 t=76495
mao 	毛	c=1 d=0.0005 t=76495
mao bing 	毛病	c=9 d=0.1095 t=40209
mao chu lai 	冒出來	c=1 d=0.0005 t=76495
mao ding 	錨定	c=1 d=0.0005 t=76495
mao dun 	矛盾	c=2 d=0.0005 t=76495
mao feng xian 	冒風險	c=1 d=0.0005 t=76495
mao guo pao 	冒過泡	c=1 d=0.5192 t=76495
mao hao 	冒號	c=1 d=0.0005 t=76495
mao mao 	毛毛	c=1 d=0.0002 t=3923
mao mao 	猫猫	c=1 d=1.0234 t=3923
mao ni 	貓膩	c=1 d=0.0005 t=76495
mao pao 	冒泡	c=1 d=0.0005 t=76495
mao wei 	冇味	c=1 d=0.0012 t=3923
mao xian 	冒險	c=1 d=0.0005 t=76495
mao yi 	貿易	c=3 d=0.0005 t=76495
mao yi zhong xin 	貿易中心	c=0 d=0.0005 t=76495
mao zi 	帽子	c=1 d=0.0005 t=76495
mao zi 	毛子	c=1 d=0.0005 t=76495
me gao 	麼搞	c=1 d=0.0005 t=76495
me you 	么有	c=5 d=0.0164 t=40209
mei 	妹	c=1 d=0.0005 t=76495
mei 	枚	c=1 d=0.0005 t=76495
mei 	每	c=5 d=1.6334 t=40209
mei 	沒	c=244 d=10.1089 t=76495
mei 	没	c=35 d=1.9345 t=3923
mei 	美	c=1 d=0.0005 t=76495
mei bai tuo 	沒擺脫	c=1 d=0.0005 t=76495
mei ban fa 	沒辦法	c=3 d=3.4884 t=76495
mei bei 	沒被	c=1 d=0.0005 t=76495
mei bi yao 	沒必要	c=17 d=0.8266 t=76495
mei bian 	沒變	c=3 d=0.0005 t=76495
mei bie 	沒別	c=1 d=0.2286 t=76495
mei can 	每餐	c=1 d=0.0005 t=76495
mei can shu 	沒參數	c=1 d=0.0005 t=76495
mei cao zuo 	没操作	c=1 d=0.0005 t=76495
mei ce 	沒測	c=1 d=0.0005 t=76495
mei cheng gong 	沒成功	c=1 d=0.0005 t=76495
mei chi hao 	沒喫好	c=1 d=0.0005 t=76495
mei chong tu 	沒衝突	c=1 d=0.0005 t=76495
mei chu fa 	没触发	c=1 d=0.0005 t=76495
mei chu li 	沒處理	c=1 d=0.0005 t=76495
mei chuan 	没传	c=1 d=0.0071 t=3923
mei ci 	每次	c=13 d=4.0113 t=40209
mei cun 	没存	c=1 d=0.0005 t=76495
mei cuo 	沒錯	c=1 d=0.0005 t=76495
mei da 	沒打	c=1 d=0.0005 t=76495
mei da dao 	没达到	c=1 d=0.0005 t=76495
mei dao dian 	没到点	c=1 d=0.0005 t=76495
mei de 	沒得	c=1 d=0.0005 t=76495
mei de hei 	沒得黑	c=1 d=0.0005 t=76495
mei de yong 	沒得用	c=1 d=0.0018 t=76495
mei deng 	没登	c=1 d=0.1331 t=3923
mei deng dao 	沒等到	c=1 d=0.0005 t=76495
mei di 	沒底	c=2 d=0.0005 t=76495
mei dian 	沒電	c=0 d=0.0005 t=76495
mei dian 	沒點	c=2 d=0.0005 t=76495
mei dian le 	沒電了	c=1 d=0.0005 t=76495
mei ding 	沒定	c=1 d=0.0005 t=76495
mei dong 	沒動	c=1 d=0.0005 t=76495
mei dong 	沒懂	c=2 d=0.0005 t=76495
mei dong guo 	没动过	c=1 d=0.0005 t=76495
mei dong jing 	没动静	c=1 d=0.0005 t=76495
mei duo da 	没多大	c=2 d=0.2013 t=76495
mei duo shao 	沒多少	c=1 d=0.0005 t=76495
mei fa 	沒法	c=52 d=3.0547 t=76495
mei fa 	没发	c=2 d=0.0780 t=76495
mei fa 	没法	c=4 d=2.3646 t=3923
mei fa ban 	沒發版	c=2 d=0.0005 t=76495
mei fa bi 	没法比	c=1 d=0.1814 t=3923
mei fa bi mian 	沒法避免	c=1 d=0.0005 t=76495
mei fa gai 	沒法改	c=1 d=0.0005 t=76495
mei fa huo 	沒法活	c=1 d=0.0005 t=76495
mei fa xian 	沒發現	c=2 d=0.3463 t=76495
mei fa xian 	没发现	c=1 d=0.0002 t=3923
mei fa zuo 	沒法做	c=1 d=0.0005 t=76495
mei fan hui 	沒返回	c=1 d=0.0005 t=76495
mei fen zhong 	每分鐘	c=1 d=0.0005 t=76495
mei gai 	没改	c=10 d=3.3021 t=40209
mei gan 	沒幹	c=1 d=0.0005 t=76495
mei gan jue 	沒感覺	c=2 d=0.0005 t=76495
mei gao 	没搞	c=1 d=0.6964 t=3923
mei ge 	每個	c=4 d=0.0005 t=76495
mei ge 	没个	c=1 d=0.0005 t=76495
mei gei 	沒給	c=8 d=0.5013 t=76495
mei gei 	没给	c=1 d=0.0002 t=3923
mei gei hao 	沒給號	c=1 d=0.0005 t=76495
mei gei ni 	没给你	c=1 d=0.0005 t=76495
mei gei wo 	没给我	c=4 d=0.2527 t=76495
mei geng xin 	沒更新	c=1 d=0.0005 t=76495
mei gong fu 	沒工夫	c=1 d=0.0005 t=76495
mei gu 	美股	c=2 d=0.2630 t=76495
mei gua 	没挂	c=0 d=0.0005 t=76495
mei guan 	沒關	c=1 d=0.2018 t=76495
mei guan 	美觀	c=2 d=0.0005 t=76495
mei guan lian 	没关联	c=1 d=0.0005 t=76495
mei guan xi 	沒關係	c=6 d=0.0043 t=76495
mei guo 	沒過	c=3 d=0.0005 t=76495
mei guo 	美國	c=10 d=0.0005 t=76495
mei guo lv 	沒過濾	c=1 d=0.0493 t=76495
mei he 	沒和	c=3 d=0.0046 t=76495
mei he 	沒喝	c=1 d=0.0005 t=76495
mei hua 	沒話	c=1 d=0.0005 t=76495
mei hua 	美化	c=1 d=0.0005 t=76495
mei huai chu 	没坏处	c=0 d=0.0005 t=76495
mei hui 	沒回	c=6 d=0.0005 t=76495
mei hui diao 	沒回調	c=1 d=0.0005 t=76495
mei hui fu 	沒回覆	c=1 d=0.0005 t=76495
mei huo qu 	没获取	c=1 d=0.0002 t=3923
mei ji ge 	没几个	c=1 d=1.2438 t=3923
mei ji hui 	没机会	c=1 d=0.4816 t=76495
mei ji tian 	沒幾天	c=1 d=0.0005 t=76495
mei jia 	没加	c=1 d=0.0804 t=76495
mei jia ru 	没加入	c=1 d=0.0005 t=76495
mei jian 	沒見	c=0 d=0.0927 t=76495
mei jian duo da 	沒見多大	c=1 d=0.9134 t=76495
mei jian ta 	沒見他	c=1 d=0.5140 t=76495
mei jie 	沒接	c=3 d=0.0005 t=76495
mei jie zhong 	沒接中	c=1 d=0.0005 t=76495
mei jing li 	没经历	c=1 d=0.0005 t=76495
mei jiu 	沒救	c=1 d=0.0005 t=76495
mei ju 	枚举	c=1 d=0.1392 t=3923
mei ju 	枚舉	c=16 d=0.0005 t=76495
mei ju 	沒局	c=1 d=0.0005 t=76495
mei ju zhi 	枚舉值	c=1 d=0.0005 t=76495
mei kai 	沒開	c=5 d=4.1973 t=76495
mei kai 	没开	c=0 d=0.0002 t=3923
mei kai de 	没开的	c=1 d=0.0002 t=3923
mei kan 	沒看	c=4 d=0.0005 t=76495
mei kan 	没看	c=1 d=0.6691 t=3923
mei kan jian 	没看见	c=2 d=0.0005 t=76495
mei kao lv 	没考虑	c=1 d=0.0005 t=76495
mei ke neng 	没可能	c=2 d=0.0005 t=76495
mei kong 	沒空	c=7 d=2.2466 t=76495
mei kong 	没空	c=1 d=0.0002 t=3923
mei la 	沒拉	c=1 d=0.0005 t=76495
mei lai 	沒來	c=0 d=0.0005 t=76495
mei le 	沒了	c=23 d=0.4412 t=76495
mei le 	没了	c=1 d=0.1047 t=3923
mei li 	美丽	c=1 d=0.0002 t=3923
mei liao tian 	沒聊天	c=1 d=0.0281 t=76495
mei liu zhu 	沒留住	c=1 d=0.0005 t=76495
mei mai 	沒買	c=1 d=0.0005 t=76495
mei mai 	没买	c=1 d=0.0401 t=3923
mei mao bing 	没毛病	c=5 d=2.3764 t=40209
mei mei 	妹妹	c=2 d=0.5140 t=76495
mei mei 	美眉	c=1 d=0.0005 t=76495
mei na dao 	沒拿到	c=1 d=0.0005 t=76495
mei nao zi 	没脑子	c=2 d=0.0005 t=76495
mei ne 	没呢	c=4 d=0.6910 t=40209
mei ni 	没你	c=1 d=0.0005 t=76495
mei nv 	美女	c=1 d=0.0005 t=76495
mei pao 	沒跑	c=2 d=0.0005 t=76495
mei pao 	没跑	c=1 d=0.0002 t=3923
mei pei 	没配	c=1 d=2.0000 t=244
mei peng you 	沒朋友	c=1 d=0.0005 t=76495
mei qi dong 	没启动	c=1 d=0.0005 t=76495
mei qian 	沒牽	c=1 d=0.0005 t=76495
mei qian 	没钱	c=1 d=0.4245 t=3923
mei qian mei gua 	沒牽没挂	c=1 d=0.0005 t=76495
mei qing qiu 	沒請求	c=1 d=0.0005 t=76495
mei qu 	沒去	c=3 d=0.0005 t=76495
mei qu guo 	没去过	c=2 d=0.5190 t=40209
mei quan xian 	沒權限	c=3 d=0.0064 t=76495
mei rang ni 	没让你	c=1 d=0.0005 t=76495
mei rang wo 	没让我	c=1 d=0.0005 t=76495
mei ren 	每人	c=1 d=0.0005 t=76495
mei ren 	沒人	c=6 d=0.2604 t=76495
mei ren yong 	没人用	c=1 d=0.0005 t=76495
mei ri 	每日	c=3 d=0.0005 t=76495
mei ri 	美日	c=1 d=0.0005 t=76495
mei ri yi ti 	每日一题	c=1 d=0.0005 t=76495
mei ri zhi 	沒日誌	c=1 d=0.0005 t=76495
mei ru 	沒入	c=1 d=0.0005 t=76495
mei ru 	沒如	c=1 d=0.0005 t=76495
mei sha 	沒啥	c=11 d=0.9555 t=76495
mei sha shi 	没啥事	c=1 d=0.0005 t=76495
mei sha yong 	没啥用	c=1 d=0.0005 t=76495
mei shan 	沒刪	c=1 d=0.0005 t=76495
mei shang 	沒上	c=5 d=0.0005 t=76495
mei shen me 	沒什麼	c=1 d=0.0005 t=76495
mei sheng 	没声	c=1 d=0.4203 t=3923
mei shi 	沒事	c=31 d=4.1206 t=76495
mei shi 	没事	c=1 d=0.1796 t=3923
mei shi guo 	没试过	c=2 d=0.1590 t=40209
mei shi jian 	没时间	c=11 d=5.0584 t=76495
mei shi mei shi 	没事没事	c=1 d=0.0462 t=76495
mei shi xian 	沒實現	c=2 d=0.0005 t=76495
mei shi zuo 	没事做	c=1 d=0.0005 t=76495
mei shou dao 	没收到	c=18 d=1.2224 t=76495
mei shu ju 	没数据	c=1 d=0.0005 t=76495
mei shua 	没刷	c=1 d=0.0005 t=76495
mei shua xin 	沒刷新	c=2 d=0.0005 t=76495
mei shui 	沒睡	c=1 d=0.0005 t=76495
mei shui le 	沒誰了	c=1 d=0.0005 t=76495
mei shuo 	沒說	c=3 d=0.0005 t=76495
mei shuo 	没说	c=1 d=0.0002 t=3923
mei suan 	沒算	c=1 d=0.0005 t=76495
mei ti 	媒體	c=3 d=0.0005 t=76495
mei ti gong 	沒提供	c=1 d=0.0005 t=76495
mei tian 	每天	c=3 d=0.3293 t=38384
mei tian kan 	每天看	c=1 d=2.0000 t=275
mei tiao zhan xing 	沒挑戰性	c=1 d=0.0005 t=76495
mei ting 	沒聽	c=0 d=0.0005 t=76495
mei ting shuo guo 	沒聽說過	c=1 d=0.0005 t=76495
mei tong bu 	没同步	c=1 d=0.0005 t=76495
mei tou xiang 	沒頭像	c=1 d=0.0005 t=76495
mei tuan 	美团	c=4 d=0.0005 t=76495
mei tui 	沒推	c=1 d=0.0005 t=76495
mei wan 	沒玩	c=1 d=0.0005 t=76495
mei wan mei liao 	沒完沒了	c=1 d=0.0005 t=76495
mei wei 	没味	c=1 d=0.0045 t=3923
mei wei hu 	沒維護	c=1 d=0.0005 t=76495
mei wen 	没问	c=2 d=0.0005 t=76495
mei wen dang 	沒文檔	c=1 d=0.0005 t=76495
mei wen ta 	没问他	c=1 d=0.0005 t=76495
mei wen ti 	沒問題	c=58 d=0.9366 t=76495
mei wo 	没我	c=1 d=0.0005 t=76495
mei wo ne ti 	沒我呢提	c=1 d=0.0005 t=76495
mei xi zao 	没洗澡	c=0 d=0.1519 t=3923
mei xia fa 	沒下發	c=2 d=0.6247 t=76495
mei xian shi 	没显示	c=2 d=0.0005 t=76495
mei xiang dao 	沒想到	c=3 d=0.2252 t=76495
mei xiang dao 	没想到	c=1 d=1.6131 t=3923
mei xiao shi 	每小时	c=1 d=0.2640 t=3923
mei xiao shi 	每小時	c=2 d=0.0005 t=76495
mei xie 	没写	c=3 d=0.0005 t=76495
mei xie chu lai 	沒寫出來	c=1 d=0.0005 t=76495
mei xie si 	沒写死	c=1 d=0.0587 t=76495
mei xie wan 	没写完	c=1 d=0.0005 t=76495
mei ya 	沒呀	c=1 d=0.1694 t=76495
mei yan 	美颜	c=2 d=3.3411 t=3923
mei yan kan 	沒眼看	c=1 d=0.0005 t=76495
mei yao 	沒要	c=1 d=0.0005 t=76495
mei yao qiu 	沒要求	c=1 d=0.0005 t=76495
mei ye 	每頁	c=6 d=0.0005 t=76495
mei yi 	每一	c=0 d=0.0005 t=76495
mei yi ci 	每一次	c=4 d=0.0005 t=76495
mei yi di 	每一滴	c=1 d=0.7185 t=76495
mei yi dian 	没一点	c=7 d=0.0018 t=76495
mei yi ge 	每一個	c=7 d=3.2041 t=76495
mei yi ge 	没一个	c=2 d=0.0005 t=76495
mei yi hang 	每一行	c=1 d=0.0005 t=76495
mei yi jian 	没意见	c=1 d=0.0005 t=76495
mei yi si 	没意思	c=1 d=0.3098 t=3923
mei yi zhong 	每一種	c=2 d=0.0005 t=76495
mei yin 	没音	c=2 d=0.2161 t=3923
mei ying xiang 	没影响	c=3 d=1.9629 t=76495
mei yong 	沒用	c=14 d=4.0368 t=76495
mei yong 	没用	c=2 d=1.7387 t=3923
mei yong cuo 	沒用錯	c=1 d=0.0005 t=76495
mei yong guo 	没用过	c=2 d=3.5589 t=76495
mei yong le 	沒用了	c=1 d=0.0005 t=76495
mei you 	沒有	c=282 d=5.9364 t=76495
mei you 	沒油	c=1 d=0.0005 t=76495
mei you 	没有	c=11 d=1.9777 t=3923
mei you a 	没有啊	c=2 d=0.0005 t=76495
mei you ba 	没有吧	c=1 d=0.0034 t=76495
mei you bao 	沒有包	c=1 d=0.0005 t=76495
mei you hua 	沒優化	c=1 d=0.0005 t=76495
mei you jie ti 	没有解体	c=1 d=1.7738 t=3923
mei you ma 	没有吗	c=1 d=0.0005 t=76495
mei you suo 	沒有鎖	c=1 d=0.0005 t=76495
mei you tou xiang 	沒有頭像	c=1 d=0.0005 t=76495
mei you ya 	沒有呀	c=2 d=0.0005 t=76495
mei you ya 	没有呀	c=1 d=1.2500 t=3923
mei you zuo 	没有做	c=1 d=0.0005 t=76495
mei yu dao 	没遇到	c=1 d=0.0005 t=76495
mei yu dao guo 	没遇到过	c=1 d=0.0073 t=76495
mei yue 	每月	c=2 d=0.0005 t=76495
mei yun dong 	沒運動	c=1 d=0.0005 t=76495
mei za 	没咋	c=1 d=0.0006 t=3923
mei zai 	沒在	c=2 d=0.0005 t=76495
mei zai xian 	没在线	c=1 d=0.0005 t=76495
mei zai yong 	沒在用	c=1 d=0.0005 t=76495
mei zen me 	沒怎麼	c=1 d=0.0005 t=76495
mei zen me wan 	沒怎麼玩	c=1 d=0.0005 t=76495
mei zhang hao 	沒帳號	c=1 d=0.0005 t=76495
mei zhao 	沒招	c=6 d=0.0005 t=76495
mei zhao 	没招	c=1 d=0.8254 t=3923
mei zhao dao 	沒找到	c=8 d=0.3770 t=76495
mei zhe ge 	没这个	c=2 d=0.0005 t=76495
mei zhe me 	没这么	c=3 d=0.0005 t=76495
mei zhe me kuai 	没这么快	c=2 d=0.0005 t=76495
mei zheng 	沒整	c=1 d=0.0005 t=76495
mei zhou 	梅州	c=2 d=0.0005 t=76495
mei zhou 	美洲	c=1 d=0.0005 t=76495
mei zhu yi guo 	沒注意過	c=1 d=3.3684 t=76495
mei zi 	妹子	c=3 d=0.0005 t=76495
mei zou 	沒走	c=1 d=0.2751 t=76495
mei zuo 	沒做	c=5 d=0.0188 t=76495
men 	們	c=7 d=0.0005 t=76495
men kan 	門檻	c=1 d=0.0008 t=76495
men kan 	门槛	c=0 d=0.0068 t=3923
meng 	夢	c=2 d=0.0005 t=76495
meng 	梦	c=3 d=0.1045 t=3923
meng xiang 	夢想	c=1 d=0.0005 t=76495
mi 	米	c=2 d=0.0005 t=76495
mi bu 	彌補	c=1 d=0.0005 t=76495
mi feng 	密封	c=1 d=0.0005 t=76495
mi feng dai 	密封袋	c=1 d=0.0005 t=76495
mi ji 	密集	c=3 d=1.5349 t=40209
mi li mian 	米裏面	c=1 d=0.0005 t=76495
mi lu 	秘鲁	c=1 d=0.0005 t=76495
mi luo 	汨羅	c=1 d=0.0005 t=76495
mi luo ba 	汨羅把	c=1 d=0.0005 t=76495
mi ma 	密码	c=7 d=1.8883 t=3923
mi ma 	密碼	c=10 d=0.0128 t=76495
mi ma chang du 	密码长度	c=1 d=0.0753 t=3923
mi ma xue 	密碼學	c=2 d=0.0005 t=76495
mi na shi 	米那是	c=1 d=0.0005 t=76495
mi tuan 	謎團	c=0 d=0.0005 t=76495
mi wen 	密文	c=4 d=0.0005 t=76495
mi yao 	密鑰	c=1 d=0.0005 t=76495
mi yue 	密钥	c=1 d=1.5891 t=3923
mian 	免	c=0 d=0.0005 t=76495
mian 	棉	c=2 d=0.0005 t=76495
mian 	面	c=0 d=0.1060 t=3923
mian 	麪	c=6 d=0.0005 t=76495
mian ban 	面板	c=1 d=0.0005 t=76495
mian ban 	面版	c=1 d=0.0005 t=76495
mian da rao 	免打擾	c=1 d=0.0005 t=76495
mian dui 	面對	c=3 d=0.3071 t=76495
mian dui mian 	面對面	c=1 d=0.0005 t=76495
mian dui xian shi 	面对现实	c=1 d=1.8370 t=3923
mian fei 	免費	c=5 d=0.0016 t=76495
mian fei 	免费	c=2 d=1.1142 t=3923
mian fei you xiang 	免費郵箱	c=1 d=0.0005 t=76495
mian guo 	麪過	c=1 d=0.2657 t=76495
mian jing 	麪經	c=1 d=0.2489 t=76495
mian qian 	面前	c=5 d=0.6547 t=40209
mian shi 	面試	c=5 d=0.5709 t=76495
mian shi 	面试	c=1 d=0.1700 t=3923
mian shi guan 	面試官	c=2 d=0.0005 t=76495
mian shi ti 	面試題	c=1 d=0.0005 t=76495
mian shi ti 	面试题	c=1 d=0.0005 t=76495
mian xiang 	面向	c=1 d=0.0005 t=76495
mian yi 	免疫	c=0 d=0.0005 t=76495
mian yi xia 	麪一下	c=1 d=0.0005 t=76495
mian zi 	面子	c=5 d=0.5811 t=40209
miao 	秒	c=39 d=6.3448 t=40209
miao 	苗	c=1 d=0.0005 t=76495
miao er 	苗兒	c=1 d=0.0005 t=76495
miao ji 	秒級	c=2 d=0.0005 t=76495
miao ji 	秒级	c=1 d=0.0002 t=3923
miao le 	瞄了	c=1 d=0.0005 t=76495
miao shu 	描述	c=23 d=1.0766 t=40209
miao shu 	秒數	c=3 d=0.0005 t=76495
miao shu fu 	描述符	c=1 d=0.0002 t=3923
miao xiao 	渺小	c=1 d=0.0002 t=3923
mie 	咩	c=4 d=0.8303 t=40209
mie 	滅	c=1 d=0.0005 t=76495
mie you 	咩有	c=2 d=0.0007 t=40209
min 	敏	c=3 d=0.0005 t=76495
min gan 	敏感	c=2 d=0.0005 t=76495
min gan ci 	敏感詞	c=36 d=0.0118 t=76495
min qi 	敏琪	c=3 d=0.0005 t=76495
min zhu 	民主	c=1 d=0.0005 t=76495
min zhu zi you 	民主自由	c=1 d=0.0005 t=76495
min zu 	民族	c=5 d=0.0005 t=76495
ming 	名	c=53 d=3.9908 t=40209
ming 	命	c=2 d=0.0005 t=76495
ming 	明	c=2 d=4.0128 t=40209
ming bai 	明擺	c=1 d=0.0005 t=76495
ming bai 	明白	c=26 d=4.2349 t=40209
ming bai le 	明白了	c=2 d=0.1423 t=76495
ming bu fu shi 	名不副實	c=1 d=0.0005 t=76495
ming cheng 	名称	c=4 d=0.7288 t=3923
ming cheng 	名稱	c=108 d=2.6371 t=76495
ming dan 	名單	c=1 d=0.0005 t=76495
ming deng 	冥燈	c=1 d=0.1803 t=76495
ming fa 	明發	c=1 d=0.0005 t=76495
ming gan 	銘感	c=1 d=0.0005 t=76495
ming hou tian 	明后天	c=1 d=0.1266 t=3923
ming huang huang 	明晃晃	c=1 d=0.3480 t=76495
ming ji 	銘記	c=1 d=0.3983 t=76495
ming liao 	明瞭	c=1 d=0.0005 t=76495
ming ling 	命令	c=47 d=1.0943 t=40209
ming ling hang 	命令行	c=3 d=0.2951 t=76495
ming lu 	名录	c=0 d=0.1402 t=3923
ming ming 	命名	c=11 d=0.1053 t=76495
ming ming 	明明	c=2 d=2.2022 t=76495
ming mu zhang dan 	明目張膽	c=1 d=0.0005 t=76495
ming pian 	名片	c=32 d=13.4611 t=40209
ming que 	明確	c=4 d=0.0081 t=76495
ming tian 	明天	c=31 d=9.9545 t=40209
ming ting 	名停	c=1 d=2.2920 t=76495
ming wan 	明晚	c=1 d=0.0005 t=76495
ming wei 	名爲	c=1 d=0.1844 t=76495
ming wen 	明文	c=6 d=0.0005 t=76495
ming xi 	明晰	c=2 d=0.0005 t=76495
ming xi na 	明晰那	c=1 d=0.0005 t=76495
ming xia 	名下	c=1 d=2.0000 t=285
ming xian 	明显	c=1 d=1.8370 t=3923
ming xian 	明顯	c=10 d=0.0005 t=76495
ming xing 	明星	c=1 d=0.0005 t=76495
ming yan 	明眼	c=1 d=0.0005 t=76495
ming yuan 	名媛	c=1 d=0.0005 t=76495
ming zao 	名噪	c=1 d=0.0005 t=76495
ming zao 	明早	c=2 d=0.0077 t=40209
ming zi 	名字	c=17 d=2.6385 t=40209
ming zong 	明總	c=2 d=0.0005 t=76495
mo 	墨	c=2 d=0.1040 t=3923
mo 	摸	c=0 d=0.1263 t=3923
mo 	莫	c=1 d=0.0005 t=76495
mo 	默	c=1 d=0.0005 t=76495
mo ban 	模板	c=14 d=0.0005 t=76495
mo bu dong 	摸不动	c=1 d=1.2689 t=3923
mo chu 	磨出	c=0 d=0.0005 t=76495
mo chu lai 	磨出來	c=1 d=0.0005 t=76495
mo die sha 	磨碟沙	c=3 d=0.0005 t=76495
mo gai 	魔改	c=5 d=0.0005 t=76495
mo gu 	蘑菇	c=1 d=0.0005 t=76495
mo hu 	模糊	c=1 d=0.0005 t=3923
mo hu 	糢糊	c=9 d=0.0546 t=76495
mo hu de 	模糊的	c=1 d=0.0005 t=76495
mo huan 	魔幻	c=1 d=0.0005 t=76495
mo huang 	莫慌	c=1 d=0.0494 t=3923
mo kuai 	模塊	c=11 d=0.5738 t=76495
mo li 	茉莉	c=1 d=0.0005 t=76495
mo mo 	墨墨	c=0 d=0.0005 t=76495
mo mo 	默默	c=1 d=0.0005 t=76495
mo mo ji ji 	墨墨唧唧	c=1 d=0.0005 t=76495
mo na ge 	摩納哥	c=0 d=0.0005 t=76495
mo na ge cheng 	摩納哥成	c=1 d=0.0005 t=76495
mo ni 	模拟	c=2 d=0.1045 t=3923
mo ni 	模擬	c=7 d=5.5787 t=76495
mo ni bao 	模拟包	c=1 d=0.0035 t=3923
mo ni de hua 	模拟的话	c=1 d=0.0005 t=3923
mo ni qi 	模擬器	c=2 d=0.0005 t=76495
mo ren 	默認	c=127 d=2.1982 t=76495
mo ren 	默认	c=5 d=2.5028 t=3923
mo ren zhi 	默認值	c=2 d=0.0005 t=76495
mo ren zhi 	默认值	c=1 d=0.0363 t=3923
mo shi 	模式	c=4 d=0.0005 t=76495
mo shi 	漠視	c=1 d=0.0005 t=76495
mo wei 	末位	c=5 d=9.6327 t=76495
mo wei 	末尾	c=3 d=4.9906 t=40209
mo xi ge 	墨西哥	c=1 d=0.0005 t=76495
mo xing 	模型	c=16 d=3.1467 t=40209
mo xing ceng 	模型層	c=1 d=0.0005 t=76495
mo yu 	摸魚	c=7 d=0.0005 t=76495
mo yu 	摸鱼	c=1 d=0.7034 t=3923
mo yu le 	摸魚了	c=1 d=0.0005 t=76495
mo zheng 	魔怔	c=2 d=0.0005 t=76495
mou 	某	c=5 d=0.6633 t=76495
mou cai hai ming 	謀財害命	c=1 d=0.0005 t=76495
mou ci 	某次	c=1 d=0.0005 t=76495
mou ci 	謀刺	c=2 d=0.0005 t=76495
mou ge 	某個	c=13 d=0.9134 t=76495
mou jie kou 	某接口	c=1 d=0.0005 t=76495
mou qun 	某羣	c=1 d=0.0005 t=76495
mou ren 	某人	c=2 d=0.0005 t=76495
mou xiang 	某項	c=2 d=0.0005 t=76495
mou xie 	某些	c=3 d=0.0005 t=76495
mou yi ge 	某一个	c=4 d=0.0005 t=76495
mou zhong 	某種	c=1 d=0.0005 t=76495
mu biao 	目標	c=2 d=1.2216 t=76495
mu ce 	目測	c=1 d=0.0005 t=76495
mu ci zi xiao 	母慈子孝	c=1 d=0.0005 t=76495
mu di 	目的	c=6 d=0.0005 t=76495
