# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	76495
#@/user_id	rime-windows
a 	啊	c=34 d=0.00152301 t=76495
liu zai 	留在	c=1 d=1.4549e-58 t=76495
liu zhe 	留着	c=2 d=0.0584257 t=76495
liu zhu 	留住	c=0 d=2.0693e-27 t=76495
liu zhuan 	流轉	c=6 d=0.995522 t=76495
lo 	咯	c=18 d=0.130707 t=76495
long jiang 	龍江	c=1 d=6.23687e-35 t=76495
long shao 	龙少	c=1 d=0.0898153 t=76495
long xin 	龍芯	c=1 d=1.04018e-26 t=76495
long xin bei 	龍芯盃	c=1 d=9.20547e-27 t=76495
long zu 	龙组	c=1 d=0.066205 t=76495
lou 	樓	c=0 d=7.46132e-86 t=76495
lou 	漏	c=1 d=1.25702e-44 t=76495
lou diao le 	漏掉了	c=1 d=1.58079e-05 t=76495
lou dong 	漏洞	c=3 d=3.15218e-07 t=76495
lou dou 	漏斗	c=1 d=4.69676e-22 t=76495
lou fa 	漏發	c=1 d=0.0295994 t=76495
lou le 	漏了	c=3 d=0.0247235 t=76495
lou le lou le 	漏了漏了	c=1 d=1.15899e-30 t=76495
lou wang 	漏網	c=1 d=7.47809e-82 t=76495
lou xia 	樓下	c=1 d=0.501576 t=76495
lu 	路	c=3 d=3.45776e-58 t=76495
lu 	陸	c=1 d=1.11583e-54 t=76495
lu cai 	滷菜	c=1 d=0.0305009 t=76495
lu fang ji 	錄放機	c=0 d=1.06025e-101 t=76495
lu jing 	路徑	c=25 d=0.00282397 t=76495
lu ka si 	盧卡斯	c=0 d=1.06025e-101 t=76495
lu ping 	录屏	c=1 d=1.92181e-09 t=76495
lu ren 	路人	c=1 d=6.41567e-44 t=76495
lu xian 	路線	c=1 d=4.7375e-06 t=76495
lu you 	路由	c=83 d=0.885524 t=76495
lu you biao 	路由表	c=2 d=4.54773e-25 t=76495
lu you mo ban 	路由模板	c=1 d=6.38238e-71 t=76495
lu you zhu ce 	路由註冊	c=1 d=0.00257991 t=76495
lu you zhu ce qi 	路由註冊器	c=1 d=0.0340475 t=76495
lu you zu 	路由組	c=30 d=0.939521 t=76495
luan 	亂	c=7 d=0.0411719 t=76495
luan 	卵	c=1 d=2.49975e-14 t=76495
luan bu luan xu 	亂不亂序	c=1 d=5.5042e-06 t=76495
luan fei 	亂飛	c=1 d=4.91979e-09 t=76495
luan le 	亂了	c=1 d=0.00494193 t=76495
luan ma 	亂碼	c=4 d=0.000459671 t=76495
luan qi ba zao 	亂七八糟	c=2 d=1.7579e-19 t=76495
luan shuo 	亂說	c=1 d=1.6998e-06 t=76495
luan xi bao 	卵細胞	c=1 d=2.53753e-14 t=76495
luan xu 	亂序	c=1 d=5.47674e-07 t=76495
lun 	輪	c=1 d=3.61651e-06 t=76495
lun dao 	輪到	c=1 d=4.69756e-24 t=76495
lun jin 	綸衿	c=1 d=1.08138e-38 t=76495
lun wen 	論文	c=1 d=4.66731e-95 t=76495
lun xun 	輪詢	c=4 d=2.26965e-25 t=76495
lun zi 	輪子	c=4 d=1.35698e-73 t=76495
luo 	羅	c=0 d=0.0355226 t=76495
luo 	蘿	c=1 d=2.9507e-24 t=76495
luo 	駱	c=1 d=0.000112788 t=76495
luo ci 	裸辞	c=2 d=8.68585e-12 t=76495
luo ji 	邏輯	c=59 d=0.542987 t=76495
luo ji pan duan 	邏輯判斷	c=1 d=9.31163e-103 t=76495
luo ma 	羅馬	c=1 d=2.98035e-24 t=76495
luo ma di guo 	羅馬帝國	c=1 d=3.16465e-24 t=76495
luo pan 	落盤	c=1 d=0.0236356 t=76495
luo si 	螺絲	c=1 d=0.0569831 t=76495
luo suo 	羅嗦	c=1 d=5.36447e-27 t=76495
luo tai jun 	羅太君	c=1 d=0.357007 t=76495
luo ti 	裸體	c=1 d=5.98155e-102 t=76495
luo tuo 	駱駝	c=1 d=2.36623e-74 t=76495
luo zhi xiang 	羅志祥	c=1 d=6.22838e-19 t=76495
lv 	捋	c=0 d=9.72429e-26 t=76495
lv 	率	c=1 d=8.65464e-08 t=76495
lv 	綠	c=3 d=5.656e-24 t=76495
lv bu 	呂布	c=2 d=0.396531 t=76495
lv hua 	綠化	c=1 d=1.60327e-24 t=76495
lv liang 	呂亮	c=1 d=3.64579e-42 t=76495
lv luo 	綠蘿	c=2 d=5.61927e-24 t=76495
lv rou 	驴肉	c=1 d=4.91812e-05 t=76495
lv rou huo shao 	驴肉火烧	c=1 d=4.99244e-05 t=76495
lv se 	綠色	c=1 d=1.41363e-43 t=76495
lv yi xia 	捋一下	c=1 d=9.77304e-25 t=76495
lve duo 	掠奪	c=2 d=3.85115e-32 t=76495
ma 	嗎	c=531 d=2.93125 t=76495
ma 	碼	c=23 d=0.394865 t=76495
ma 	馬	c=1 d=1.39865e-06 t=76495
ma 	麻	c=1 d=1.58236e-46 t=76495
ma de 	媽的	c=5 d=1.45373e-06 t=76495
ma diao 	馬吊	c=3 d=1.43602e-22 t=76495
ma fan 	麻煩	c=10 d=0.737131 t=76495
ma fan le 	麻烦了	c=1 d=1.33013e-62 t=76495
ma hao 	馬號	c=0 d=3.19211e-09 t=76495
ma hou pao 	馬後炮	c=2 d=8.78993e-13 t=76495
ma jiang 	麻將	c=1 d=6.71554e-52 t=76495
ma ke si 	馬克思	c=1 d=3.35224e-25 t=76495
ma lai xi ya 	馬來西亞	c=2 d=1.20742e-21 t=76495
ma le 	罵了	c=0 d=6.07525e-80 t=76495
ma le 	麻了	c=6 d=0.00918672 t=76495
ma lu 	馬路	c=2 d=3.74396e-19 t=76495
ma lv 	碼率	c=0 d=2.14032e-71 t=76495
ma ma 	媽媽	c=2 d=0.962198 t=76495
ma niang 	罵娘	c=1 d=5.47674e-06 t=76495
ma rou 	馬肉	c=1 d=4.84489e-05 t=76495
ma shang 	馬上	c=9 d=0.485385 t=76495
ma teng 	馬騰	c=1 d=0.251579 t=76495
ma tong 	馬桶	c=1 d=3.58979e-07 t=76495
ma tong shuan 	馬桶拴	c=1 d=5.98416e-19 t=76495
ma tou 	碼頭	c=1 d=2.70786e-43 t=76495
ma ye 	妈耶	c=1 d=4.15264e-44 t=76495
mai 	買	c=12 d=0.155444 t=76495
mai bu dao 	買不到	c=1 d=3.16111e-99 t=76495
mai che 	買車	c=2 d=0.729789 t=76495
mai dan 	買單	c=1 d=7.32526e-45 t=76495
mai de 	買的	c=2 d=2.35578e-22 t=76495
mai dian 	埋點	c=1 d=1.09522e-70 t=76495
mai fang 	買房	c=1 d=0.726149 t=76495
mai gei 	賣給	c=1 d=1.11374e-32 t=76495
mai lai 	買來	c=3 d=2.51858e-34 t=76495
mai le 	買了	c=6 d=0.0201468 t=76495
mai liang 	買輛	c=1 d=0.00252883 t=76495
mai liang che 	買輛車	c=1 d=2.09295e-42 t=76495
mai yi 	買一	c=0 d=6.83308e-110 t=76495
mai yi dian 	買一點	c=1 d=6.86733e-109 t=76495
mai yi ge 	买一个	c=1 d=6.52415e-06 t=76495
man 	慢	c=2 d=6.46695e-61 t=76495
man 	滿	c=3 d=0.767206 t=76495
man cha xun 	慢查詢	c=1 d=6.12691e-61 t=76495
man hao de 	蠻好的	c=1 d=8.97608e-83 t=76495
man le 	慢了	c=1 d=7.91648e-17 t=76495
man le 	滿了	c=1 d=4.01745e-37 t=76495
man man 	慢慢	c=8 d=7.08428e-07 t=76495
man man lai 	慢慢來	c=2 d=2.83666e-82 t=76495
man ping 	满屏	c=1 d=0.860708 t=76495
man xue 	满血	c=1 d=1.53507e-42 t=76495
man yi 	滿意	c=1 d=4.2038e-41 t=76495
man zu 	滿足	c=3 d=0.386741 t=76495
man zu ni 	满足你	c=1 d=0.00030659 t=76495
mang 	忙	c=4 d=0.00324708 t=76495
mang da 	盲打	c=1 d=3.16401e-51 t=76495
mang gai 	盲改	c=1 d=1.41555e-59 t=76495
mang ma 	忙嗎	c=1 d=9.88671e-14 t=76495
mang ren 	盲人	c=1 d=1.62578e-41 t=76495
mang si 	忙死	c=2 d=0.00794669 t=76495
mang xie 	盲寫	c=1 d=0.0142642 t=76495
mang ze deng dai 	忙則等待	c=1 d=6.19606e-46 t=76495
mang zhe 	忙着	c=1 d=9.96368e-17 t=76495
mao 	毛	c=1 d=5.59196e-45 t=76495
mao bing 	毛病	c=7 d=6.7081e-09 t=76495
mao chu lai 	冒出來	c=1 d=5.14432e-34 t=76495
mao ding 	錨定	c=1 d=3.43944e-33 t=76495
mao dun 	矛盾	c=2 d=4.89775e-15 t=76495
mao feng xian 	冒風險	c=1 d=3.77449e-09 t=76495
mao guo pao 	冒過泡	c=1 d=0.10383 t=76495
mao hao 	冒號	c=1 d=5.86966e-27 t=76495
mao ni 	貓膩	c=1 d=4.59749e-06 t=76495
mao pao 	冒泡	c=1 d=1.6853e-111 t=76495
mao xian 	冒險	c=1 d=4.27883e-102 t=76495
mao yi 	貿易	c=3 d=2.75796e-32 t=76495
mao yi zhong xin 	貿易中心	c=0 d=1.89468e-78 t=76495
mao zi 	帽子	c=1 d=1.57205e-28 t=76495
mao zi 	毛子	c=1 d=2.50513e-98 t=76495
me gao 	麼搞	c=1 d=1.37891e-74 t=76495
me you 	么有	c=2 d=6.35112e-45 t=76495
mei 	妹	c=1 d=3.32397e-43 t=76495
mei 	枚	c=1 d=3.50176e-09 t=76495
mei 	每	c=5 d=0.321422 t=76495
mei 	沒	c=244 d=2.02177 t=76495
mei 	美	c=1 d=2.87981e-32 t=76495
mei bai tuo 	沒擺脫	c=1 d=1.36334e-58 t=76495
mei ban fa 	沒辦法	c=3 d=0.697676 t=76495
mei bei 	沒被	c=1 d=1.26354e-46 t=76495
mei bi yao 	沒必要	c=17 d=0.165312 t=76495
mei bian 	沒變	c=3 d=4.08747e-05 t=76495
mei bie 	沒別	c=1 d=0.04573 t=76495
mei can 	每餐	c=1 d=1.7931e-17 t=76495
mei can shu 	沒參數	c=1 d=2.40787e-44 t=76495
mei cao zuo 	没操作	c=1 d=2.65984e-09 t=76495
mei ce 	沒測	c=1 d=1.57317e-07 t=76495
mei cheng gong 	沒成功	c=1 d=1.88799e-06 t=76495
mei chi hao 	沒喫好	c=1 d=8.0222e-26 t=76495
mei chong tu 	沒衝突	c=1 d=6.8975e-43 t=76495
mei chu fa 	没触发	c=1 d=2.69912e-05 t=76495
mei chu li 	沒處理	c=1 d=9.2086e-31 t=76495
mei ci 	每次	c=11 d=0.75539 t=76495
mei cun 	没存	c=1 d=3.67719e-84 t=76495
mei cuo 	沒錯	c=1 d=5.89187e-42 t=76495
mei da 	沒打	c=1 d=5.99742e-45 t=76495
mei da dao 	没达到	c=1 d=9.55936e-59 t=76495
mei dao dian 	没到点	c=1 d=1.52585e-30 t=76495
mei de 	沒得	c=1 d=3.50903e-05 t=76495
mei de hei 	沒得黑	c=1 d=6.75654e-06 t=76495
mei de yong 	沒得用	c=1 d=0.000352662 t=76495
mei deng dao 	沒等到	c=1 d=1.26092e-51 t=76495
mei di 	沒底	c=2 d=1.55808e-11 t=76495
mei dian 	沒電	c=0 d=8.17703e-46 t=76495
mei dian 	沒點	c=2 d=1.13877e-58 t=76495
mei dian le 	沒電了	c=1 d=8.21802e-45 t=76495
mei ding 	沒定	c=1 d=6.77705e-71 t=76495
mei dong 	沒動	c=1 d=2.86224e-107 t=76495
mei dong 	沒懂	c=2 d=7.63769e-07 t=76495
mei dong guo 	没动过	c=1 d=3.91189e-106 t=76495
mei dong jing 	没动静	c=1 d=1.46518e-82 t=76495
mei duo da 	没多大	c=2 d=0.0402524 t=76495
mei duo shao 	沒多少	c=1 d=1.57778e-12 t=76495
mei fa 	沒法	c=52 d=0.610947 t=76495
mei fa 	没发	c=2 d=0.0156076 t=76495
mei fa ban 	沒發版	c=2 d=2.64604e-36 t=76495
mei fa bi mian 	沒法避免	c=1 d=1.13192e-46 t=76495
mei fa gai 	沒法改	c=1 d=4.56775e-106 t=76495
mei fa huo 	沒法活	c=1 d=6.77749e-13 t=76495
mei fa xian 	沒發現	c=2 d=0.0692522 t=76495
mei fa zuo 	沒法做	c=1 d=1.02609e-97 t=76495
mei fan hui 	沒返回	c=1 d=2.26018e-64 t=76495
mei fen zhong 	每分鐘	c=1 d=1.31443e-40 t=76495
mei gai 	没改	c=7 d=0.264379 t=76495
mei gan 	沒幹	c=1 d=7.33423e-30 t=76495
mei gan jue 	沒感覺	c=2 d=1.21593e-06 t=76495
mei ge 	每個	c=4 d=7.34821e-23 t=76495
mei ge 	没个	c=1 d=4.41722e-06 t=76495
mei gei 	沒給	c=8 d=0.100259 t=76495
mei gei hao 	沒給號	c=1 d=1.96993e-94 t=76495
mei gei ni 	没给你	c=1 d=2.40575e-63 t=76495
mei gei wo 	没给我	c=4 d=0.0505395 t=76495
mei geng xin 	沒更新	c=1 d=2.31945e-45 t=76495
mei gong fu 	沒工夫	c=1 d=9.98915e-47 t=76495
mei gu 	美股	c=2 d=0.0526021 t=76495
mei gua 	没挂	c=0 d=6.21719e-87 t=76495
mei guan 	沒關	c=1 d=0.0403566 t=76495
mei guan 	美觀	c=2 d=2.7219e-45 t=76495
mei guan lian 	没关联	c=1 d=3.47378e-91 t=76495
mei guan xi 	沒關係	c=6 d=0.000850235 t=76495
mei guo 	沒過	c=3 d=8.20963e-33 t=76495
mei guo 	美國	c=10 d=8.01188e-24 t=76495
mei guo lv 	沒過濾	c=1 d=0.0098528 t=76495
mei he 	沒和	c=3 d=0.000923275 t=76495
mei he 	沒喝	c=1 d=9.98097e-08 t=76495
mei hua 	沒話	c=1 d=3.03675e-68 t=76495
mei hua 	美化	c=1 d=2.45168e-109 t=76495
mei huai chu 	没坏处	c=0 d=1.32575e-83 t=76495
mei hui 	沒回	c=6 d=1.04422e-09 t=76495
mei hui diao 	沒回調	c=1 d=3.792e-34 t=76495
mei hui fu 	沒回覆	c=1 d=8.58458e-29 t=76495
mei ji hui 	没机会	c=1 d=0.0963276 t=76495
mei ji tian 	沒幾天	c=1 d=1.41391e-16 t=76495
mei jia 	没加	c=1 d=0.0160829 t=76495
mei jia ru 	没加入	c=1 d=1.01657e-105 t=76495
mei jian 	沒見	c=0 d=0.0185397 t=76495
mei jian duo da 	沒見多大	c=1 d=0.182684 t=76495
mei jian ta 	沒見他	c=1 d=0.102797 t=76495
mei jie 	沒接	c=3 d=7.32877e-81 t=76495
mei jie zhong 	沒接中	c=1 d=7.3655e-80 t=76495
mei jing li 	没经历	c=1 d=5.96142e-33 t=76495
mei jiu 	沒救	c=1 d=3.32634e-22 t=76495
mei ju 	枚舉	c=16 d=4.73817e-05 t=76495
mei ju 	沒局	c=1 d=6.2692e-37 t=76495
mei ju zhi 	枚舉值	c=1 d=1.69785e-110 t=76495
mei kai 	沒開	c=5 d=0.839457 t=76495
mei kan 	沒看	c=4 d=1.44473e-05 t=76495
mei kan jian 	没看见	c=2 d=7.21275e-10 t=76495
mei kao lv 	没考虑	c=1 d=1.56039e-58 t=76495
mei ke neng 	没可能	c=2 d=2.77122e-21 t=76495
mei kong 	沒空	c=7 d=0.449329 t=76495
mei la 	沒拉	c=1 d=2.5175e-09 t=76495
mei lai 	沒來	c=0 d=4.40403e-60 t=76495
mei le 	沒了	c=23 d=0.088246 t=76495
mei liao tian 	沒聊天	c=1 d=0.00562801 t=76495
mei liu zhu 	沒留住	c=1 d=2.07968e-26 t=76495
mei mai 	沒買	c=1 d=5.54291e-59 t=76495
mei mao bing 	没毛病	c=4 d=0.474734 t=76495
mei mei 	妹妹	c=2 d=0.102797 t=76495
mei mei 	美眉	c=1 d=5.96465e-10 t=76495
mei na dao 	沒拿到	c=1 d=3.60069e-72 t=76495
mei nao zi 	没脑子	c=2 d=1.18854e-32 t=76495
mei ne 	没呢	c=3 d=0.00031751 t=76495
mei ni 	没你	c=1 d=1.89442e-46 t=76495
mei nv 	美女	c=1 d=4.07886e-39 t=76495
mei pao 	沒跑	c=2 d=6.66972e-33 t=76495
mei peng you 	沒朋友	c=1 d=1.49173e-58 t=76495
mei qi dong 	没启动	c=1 d=3.44002e-35 t=76495
mei qian 	沒牽	c=1 d=2.21129e-42 t=76495
mei qian mei gua 	沒牽没挂	c=1 d=6.24835e-86 t=76495
mei qing qiu 	沒請求	c=1 d=1.9119e-07 t=76495
mei qu 	沒去	c=3 d=3.58981e-07 t=76495
mei qu guo 	没去过	c=1 d=1.15919e-32 t=76495
mei quan xian 	沒權限	c=3 d=0.00127096 t=76495
mei rang ni 	没让你	c=1 d=3.47885e-20 t=76495
mei rang wo 	没让我	c=1 d=4.79296e-84 t=76495
mei ren 	每人	c=1 d=4.94445e-09 t=76495
mei ren 	沒人	c=6 d=0.0520787 t=76495
mei ren yong 	没人用	c=1 d=1.25749e-19 t=76495
mei ri 	每日	c=3 d=1.28976e-23 t=76495
mei ri 	美日	c=1 d=6.82422e-35 t=76495
mei ri yi ti 	每日一题	c=1 d=1.81674e-24 t=76495
mei ri zhi 	沒日誌	c=1 d=1.45139e-59 t=76495
mei ru 	沒入	c=1 d=3.43184e-07 t=76495
mei ru 	沒如	c=1 d=2.30906e-51 t=76495
mei sha 	沒啥	c=11 d=0.191092 t=76495
mei sha shi 	没啥事	c=1 d=6.84982e-79 t=76495
mei sha yong 	没啥用	c=1 d=2.21701e-43 t=76495
mei shan 	沒刪	c=1 d=1.24367e-36 t=76495
mei shang 	沒上	c=5 d=1.50759e-06 t=76495
mei shen me 	沒什麼	c=1 d=2.00733e-80 t=76495
mei shi 	沒事	c=31 d=0.824129 t=76495
mei shi guo 	没试过	c=1 d=7.72972e-89 t=76495
mei shi jian 	没时间	c=11 d=1.01169 t=76495
mei shi mei shi 	没事没事	c=1 d=0.00923273 t=76495
mei shi xian 	沒實現	c=2 d=4.24474e-08 t=76495
mei shi zuo 	没事做	c=1 d=1.62767e-84 t=76495
mei shou dao 	没收到	c=18 d=0.244487 t=76495
mei shu ju 	没数据	c=1 d=1.07342e-10 t=76495
mei shua 	没刷	c=1 d=1.5816e-11 t=76495
mei shua xin 	沒刷新	c=2 d=1.01543e-33 t=76495
mei shui 	沒睡	c=1 d=9.2133e-37 t=76495
mei shui le 	沒誰了	c=1 d=1.20736e-11 t=76495
mei shuo 	沒說	c=3 d=2.69214e-05 t=76495
mei suan 	沒算	c=1 d=5.57088e-30 t=76495
mei ti 	媒體	c=3 d=1.71448e-05 t=76495
mei ti gong 	沒提供	c=1 d=9.5496e-47 t=76495
mei tian 	每天	c=3 d=0.0258615 t=76495
mei tiao zhan xing 	沒挑戰性	c=1 d=3.41763e-17 t=76495
mei ting 	沒聽	c=0 d=1.19877e-75 t=76495
mei ting shuo guo 	沒聽說過	c=1 d=1.20478e-74 t=76495
mei tong bu 	没同步	c=1 d=1.8981e-10 t=76495
mei tou xiang 	沒頭像	c=1 d=7.23488e-46 t=76495
mei tuan 	美团	c=4 d=9.20122e-41 t=76495
mei tui 	沒推	c=1 d=2.79898e-50 t=76495
mei wan 	沒玩	c=1 d=8.87287e-94 t=76495
mei wan mei liao 	沒完沒了	c=1 d=1.95278e-50 t=76495
mei wei hu 	沒維護	c=1 d=3.46835e-102 t=76495
mei wen 	没问	c=2 d=1.67455e-35 t=76495
mei wen dang 	沒文檔	c=1 d=7.77823e-45 t=76495
mei wen ta 	没问他	c=1 d=2.00986e-36 t=76495
mei wen ti 	沒問題	c=58 d=0.187325 t=76495
mei wo 	没我	c=1 d=3.36699e-106 t=76495
mei wo ne ti 	沒我呢提	c=1 d=1.02773e-57 t=76495
mei xia fa 	沒下發	c=2 d=0.12493 t=76495
mei xian shi 	没显示	c=2 d=8.8232e-28 t=76495
mei xiang dao 	沒想到	c=3 d=0.0450492 t=76495
mei xiao shi 	每小時	c=2 d=5.25109e-11 t=76495
mei xie 	没写	c=3 d=4.90792e-10 t=76495
mei xie chu lai 	沒寫出來	c=1 d=1.50784e-08 t=76495
mei xie si 	沒写死	c=1 d=0.0117371 t=76495
mei xie wan 	没写完	c=1 d=7.5916e-24 t=76495
mei ya 	沒呀	c=1 d=0.0338776 t=76495
mei yan kan 	沒眼看	c=1 d=9.98171e-97 t=76495
mei yao 	沒要	c=1 d=4.07401e-25 t=76495
mei yao qiu 	沒要求	c=1 d=1.18096e-45 t=76495
mei ye 	每頁	c=6 d=7.19168e-05 t=76495
mei yi 	每一	c=0 d=1.20044e-62 t=76495
mei yi ci 	每一次	c=4 d=1.7042e-07 t=76495
mei yi di 	每一滴	c=1 d=0.143704 t=76495
mei yi dian 	没一点	c=7 d=0.000352662 t=76495
mei yi ge 	每一個	c=7 d=0.640824 t=76495
mei yi ge 	没一个	c=2 d=1.6275e-24 t=76495
mei yi hang 	每一行	c=1 d=1.20646e-61 t=76495
mei yi jian 	没意见	c=1 d=1.33498e-46 t=76495
mei yi zhong 	每一種	c=2 d=2.73267e-45 t=76495
mei ying xiang 	没影响	c=3 d=0.392586 t=76495
mei yong 	沒用	c=14 d=0.807364 t=76495
mei yong cuo 	沒用錯	c=1 d=3.137e-09 t=76495
mei yong guo 	没用过	c=2 d=0.71177 t=76495
mei yong le 	沒用了	c=1 d=1.34725e-36 t=76495
mei you 	沒有	c=282 d=1.18729 t=76495
mei you 	沒油	c=1 d=5.1197e-07 t=76495
mei you a 	没有啊	c=2 d=1.38009e-84 t=76495
mei you ba 	没有吧	c=1 d=0.00067217 t=76495
mei you bao 	沒有包	c=1 d=8.25473e-68 t=76495
mei you hua 	沒優化	c=1 d=9.09933e-67 t=76495
mei you ma 	没有吗	c=1 d=5.05604e-95 t=76495
mei you suo 	沒有鎖	c=1 d=4.62668e-51 t=76495
mei you tou xiang 	沒有頭像	c=1 d=6.34063e-82 t=76495
mei you ya 	沒有呀	c=2 d=2.22782e-12 t=76495
mei you zuo 	没有做	c=1 d=7.14151e-99 t=76495
mei yu dao 	没遇到	c=1 d=1.71391e-15 t=76495
mei yu dao guo 	没遇到过	c=1 d=0.00145901 t=76495
mei yue 	每月	c=2 d=9.37386e-05 t=76495
mei yun dong 	沒運動	c=1 d=3.26836e-21 t=76495
mei zai 	沒在	c=2 d=1.15659e-35 t=76495
mei zai xian 	没在线	c=1 d=4.39056e-23 t=76495
mei zai yong 	沒在用	c=1 d=3.06039e-71 t=76495
mei zen me 	沒怎麼	c=1 d=5.31579e-08 t=76495
mei zen me wan 	沒怎麼玩	c=1 d=6.13297e-102 t=76495
mei zhang hao 	沒帳號	c=1 d=2.11729e-31 t=76495
mei zhao 	沒招	c=6 d=7.56553e-13 t=76495
mei zhao dao 	沒找到	c=8 d=0.0753961 t=76495
mei zhe ge 	没这个	c=2 d=4.38445e-36 t=76495
mei zhe me 	没这么	c=3 d=2.4515e-20 t=76495
mei zhe me kuai 	没这么快	c=2 d=1.76214e-18 t=76495
mei zheng 	沒整	c=1 d=2.62132e-102 t=76495
mei zhou 	梅州	c=2 d=3.71275e-42 t=76495
mei zhou 	美洲	c=1 d=8.00694e-33 t=76495
mei zhu yi guo 	沒注意過	c=1 d=0.67368 t=76495
mei zi 	妹子	c=3 d=4.00994e-16 t=76495
mei zou 	沒走	c=1 d=0.0550232 t=76495
mei zuo 	沒做	c=5 d=0.00376283 t=76495
men 	們	c=7 d=2.84533e-08 t=76495
men kan 	門檻	c=1 d=0.000169103 t=76495
meng 	夢	c=2 d=6.57863e-05 t=76495
meng xiang 	夢想	c=1 d=5.99659e-14 t=76495
mi 	米	c=2 d=5.86268e-14 t=76495
mi bu 	彌補	c=1 d=1.2029e-85 t=76495
mi feng 	密封	c=1 d=6.77851e-34 t=76495
mi feng dai 	密封袋	c=1 d=5.91738e-34 t=76495
mi ji 	密集	c=2 d=5.87191e-12 t=76495
mi li mian 	米裏面	c=1 d=6.8066e-34 t=76495
mi lu 	秘鲁	c=1 d=8.41746e-33 t=76495
mi luo 	汨羅	c=1 d=2.64544e-09 t=76495
mi luo ba 	汨羅把	c=1 d=2.15602e-09 t=76495
mi ma 	密碼	c=10 d=0.00256704 t=76495
mi ma xue 	密碼學	c=2 d=1.79641e-107 t=76495
mi na shi 	米那是	c=1 d=5.89206e-13 t=76495
mi tuan 	謎團	c=0 d=1.76334e-27 t=76495
mi wen 	密文	c=4 d=1.86295e-16 t=76495
mi yao 	密鑰	c=1 d=8.34594e-109 t=76495
mian 	免	c=0 d=1.00577e-98 t=76495
mian 	棉	c=2 d=2.03223e-38 t=76495
mian 	麪	c=6 d=6.94433e-05 t=76495
mian ban 	面板	c=1 d=2.25473e-65 t=76495
mian ban 	面版	c=1 d=2.24349e-65 t=76495
mian da rao 	免打擾	c=1 d=1.01081e-97 t=76495
mian dui 	面對	c=3 d=0.0614212 t=76495
mian dui mian 	面對面	c=1 d=2.79764e-15 t=76495
mian fei 	免費	c=5 d=0.000325549 t=76495
mian fei you xiang 	免費郵箱	c=1 d=1.53366e-90 t=76495
mian guo 	麪過	c=1 d=0.0531307 t=76495
mian jing 	麪經	c=1 d=0.0497871 t=76495
mian qian 	面前	c=4 d=0.0347353 t=76495
mian shi 	面試	c=5 d=0.114183 t=76495
mian shi guan 	面試官	c=2 d=2.75645e-08 t=76495
mian shi ti 	面試題	c=1 d=8.63937e-45 t=76495
mian shi ti 	面试题	c=1 d=4.63328e-09 t=76495
mian xiang 	面向	c=1 d=1.6196e-55 t=76495
mian yi 	免疫	c=0 d=1.52559e-29 t=76495
mian yi xia 	麪一下	c=1 d=1.20191e-46 t=76495
mian zi 	面子	c=4 d=0.00162053 t=76495
miao 	秒	c=36 d=0.960531 t=76495
miao 	苗	c=1 d=4.25849e-46 t=76495
miao er 	苗兒	c=1 d=4.23725e-46 t=76495
miao ji 	秒級	c=2 d=1.12785e-33 t=76495
miao le 	瞄了	c=1 d=7.78643e-28 t=76495
miao shu 	描述	c=22 d=0.084163 t=76495
miao shu 	秒數	c=3 d=5.1781e-07 t=76495
mie 	咩	c=2 d=8.91926e-13 t=76495
mie 	滅	c=1 d=1.99715e-20 t=76495
mie you 	咩有	c=1 d=2.62007e-31 t=76495
min 	敏	c=3 d=8.95595e-86 t=76495
min gan 	敏感	c=2 d=5.13208e-06 t=76495
min gan ci 	敏感詞	c=36 d=0.00235786 t=76495
min qi 	敏琪	c=3 d=8.20684e-29 t=76495
min zhu 	民主	c=1 d=2.78076e-32 t=76495
min zhu zi you 	民主自由	c=1 d=2.72569e-32 t=76495
min zu 	民族	c=5 d=1.16389e-21 t=76495
ming 	名	c=52 d=0.764338 t=76495
ming 	命	c=2 d=7.48773e-09 t=76495
ming 	明	c=1 d=0.802519 t=76495
ming bai 	明擺	c=1 d=7.9362e-105 t=76495
ming bai 	明白	c=23 d=0.460608 t=76495
ming bai le 	明白了	c=2 d=0.028458 t=76495
ming bu fu shi 	名不副實	c=1 d=4.94277e-05 t=76495
ming cheng 	名稱	c=108 d=0.52743 t=76495
ming dan 	名單	c=1 d=4.84804e-42 t=76495
ming deng 	冥燈	c=1 d=0.0360595 t=76495
ming fa 	明發	c=1 d=2.27461e-80 t=76495
ming gan 	銘感	c=1 d=1.28591e-76 t=76495
ming huang huang 	明晃晃	c=1 d=0.0695994 t=76495
ming ji 	銘記	c=1 d=0.079659 t=76495
ming liao 	明瞭	c=1 d=1.18362e-42 t=76495
ming ling 	命令	c=47 d=0.185444 t=76495
ming ling hang 	命令行	c=3 d=0.0590129 t=76495
ming ming 	命名	c=11 d=0.0210697 t=76495
ming ming 	明明	c=2 d=0.440432 t=76495
ming mu zhang dan 	明目張膽	c=1 d=7.90411e-28 t=76495
ming pian 	名片	c=27 d=2.564 t=76495
ming que 	明確	c=4 d=0.00162053 t=76495
ming tian 	明天	c=28 d=1.63066 t=76495
ming ting 	名停	c=1 d=0.458406 t=76495
ming wan 	明晚	c=1 d=6.44454e-38 t=76495
ming wei 	名爲	c=1 d=0.0368832 t=76495
